clean_address,lon,lat
"I240W AND JACKSON CURVE, ASHEVILLE, NC",-82.5514869,35.5950581
"I26 W AND EXIT 25, ASHEVILLE, NC",-82.5688754,35.5946356
"I 240 EAST PAST EXIT 7, ASHEVILLE, NC",-82.5545518,35.5990948
"I 40 AND EXIT 47, ASHEVILLE, NC",-82.553946,35.5582803
"I 240 WB AND WESTGATE PKWY, ASHEVILLE, NC",-82.5757876,35.5909447
"I 240 WEST AND MM 3, ASHEVILLE, NC",-82.5545518,35.5990948
"I40 EB AND EXIT 53A, ASHEVILLE, NC",-82.553946,35.5582803
"I240W AND MONTFORD AVE, ASHEVILLE, NC",-82.5645374,35.6025874
"I 40 EAST MM 42.5, ASHEVILLE, NC",-82.553946,35.5582803
"I26WB AND EXIT 25, ASHEVILLE, NC",-82.5517531,35.5949903
"I40 E NEAR EXIT 55, ASHEVILLE, NC",-82.4623499,35.5838943
"I 240 EB AND EXIT 4, ASHEVILLE, NC",-82.5545518,35.5990948
"I240 E AND MERRIMON EXIT 5A, ASHEVILLE, NC",-82.5546348,35.6161721
"I240 EB AND EXIT 8, ASHEVILLE, NC",-82.5545518,35.5990948
"I40 EAST, ASHEVILLE, NC",-82.553946,35.5582803
"I 240 EB AND TUNNEL RD, ASHEVILLE, NC",-82.531065,35.592545
"I 240 WEST AND EXIT 4A, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240 EAST EXIT 4C, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240 EAST AND MERRIMON AVE, ASHEVILLE, NC",-82.5537505,35.60742
"I 40 AND MM 49.5, ASHEVILLE, NC",-82.553946,35.5582803
"I 240 WEST AND EXIT 6, ASHEVILLE, NC",-82.5545518,35.5990948
"I 240 EAST BOUND NEAR CHARLOTTE ST, ASHEVILLE, NC",-82.5545518,35.5990948
"I240 W EXIT 7, ASHEVILLE, NC",-82.5545518,35.5990948
"I 40 AND EXIT 56, ASHEVILLE, NC",-82.553946,35.5582803
"I 240 WEST EXIT 4, ASHEVILLE, NC",-82.5545518,35.5990948
